,score,time,label,n,subject,contrast
10954,-0.003198074868183323,-0.01,t1_s1_h1,1814,05,voiced
10955,-0.033704593384090875,0.0,t1_s1_h1,1814,05,voiced
10956,-0.035467777389563165,0.01,t1_s1_h1,1814,05,voiced
10957,-0.004036715609125314,0.02,t1_s1_h1,1814,05,voiced
10958,0.03038890696659532,0.03,t1_s1_h1,1814,05,voiced
10959,0.05104785402800983,0.04,t1_s1_h1,1814,05,voiced
10960,0.027385915633475418,0.05,t1_s1_h1,1814,05,voiced
10961,0.01751314407865583,0.06,t1_s1_h1,1814,05,voiced
10962,0.033949393341973014,0.07,t1_s1_h1,1814,05,voiced
10963,0.04064704855927509,0.08,t1_s1_h1,1814,05,voiced
10964,0.014445433946390774,0.09,t1_s1_h1,1814,05,voiced
10965,0.018233312046557343,0.1,t1_s1_h1,1814,05,voiced
10966,0.031051619072343398,0.11,t1_s1_h1,1814,05,voiced
10967,0.02480900919967259,0.12,t1_s1_h1,1814,05,voiced
10968,0.03809667651930067,0.13,t1_s1_h1,1814,05,voiced
10969,0.03896669100333206,0.14,t1_s1_h1,1814,05,voiced
10970,0.01994282715534556,0.15,t1_s1_h1,1814,05,voiced
10971,0.02123441664811142,0.16,t1_s1_h1,1814,05,voiced
10972,0.023306183464395478,0.17,t1_s1_h1,1814,05,voiced
10973,0.046036908102428865,0.18,t1_s1_h1,1814,05,voiced
10974,0.08915752131682973,0.19,t1_s1_h1,1814,05,voiced
10975,0.07964407825982016,0.2,t1_s1_h1,1814,05,voiced
10976,0.11216895857039288,0.21,t1_s1_h1,1814,05,voiced
10977,0.08802293488735423,0.22,t1_s1_h1,1814,05,voiced
10978,0.05544563309336185,0.23,t1_s1_h1,1814,05,voiced
10979,0.07020377510014844,0.24,t1_s1_h1,1814,05,voiced
10980,0.07285868075183494,0.25,t1_s1_h1,1814,05,voiced
10981,0.05530794738805645,0.26,t1_s1_h1,1814,05,voiced
10982,0.055463588395028504,0.27,t1_s1_h1,1814,05,voiced
10983,0.07922360885529803,0.28,t1_s1_h1,1814,05,voiced
10984,0.06571921117966166,0.29,t1_s1_h1,1814,05,voiced
10985,0.060443623638862215,0.3,t1_s1_h1,1814,05,voiced
10986,0.06388114073210935,0.31,t1_s1_h1,1814,05,voiced
10987,0.04144455958299077,0.32,t1_s1_h1,1814,05,voiced
10988,0.050271478298582785,0.33,t1_s1_h1,1814,05,voiced
10989,0.06077387689729969,0.34,t1_s1_h1,1814,05,voiced
10990,0.02946673392370927,0.35,t1_s1_h1,1814,05,voiced
10991,0.034417253160527336,0.36,t1_s1_h1,1814,05,voiced
10992,0.040546186149681,0.37,t1_s1_h1,1814,05,voiced
10993,0.05493818242096619,0.38,t1_s1_h1,1814,05,voiced
10994,0.041173256031008014,0.39,t1_s1_h1,1814,05,voiced
10995,0.05055260214194149,0.4,t1_s1_h1,1814,05,voiced
10996,0.04419137825459367,0.41,t1_s1_h1,1814,05,voiced
10997,0.04873960360268791,0.42,t1_s1_h1,1814,05,voiced
10998,0.06978873827416525,0.43,t1_s1_h1,1814,05,voiced
10999,0.05338517096436898,0.44,t1_s1_h1,1814,05,voiced
11000,0.023337298785746505,0.45,t1_s1_h1,1814,05,voiced
11001,0.01233146242982103,0.46,t1_s1_h1,1814,05,voiced
11002,0.025230067487777817,0.47,t1_s1_h1,1814,05,voiced
11003,-0.007117277153170116,0.48,t1_s1_h1,1814,05,voiced
11004,0.028639502605087314,0.49,t1_s1_h1,1814,05,voiced
11005,0.0320733569445344,0.5,t1_s1_h1,1814,05,voiced
11006,0.044172305776329475,0.51,t1_s1_h1,1814,05,voiced
11007,0.0587448438779131,0.52,t1_s1_h1,1814,05,voiced
11008,0.06305862691301083,0.53,t1_s1_h1,1814,05,voiced
11009,0.04293048030498401,0.54,t1_s1_h1,1814,05,voiced
11010,0.042959288441194524,0.55,t1_s1_h1,1814,05,voiced
11011,0.0206251296092345,0.56,t1_s1_h1,1814,05,voiced
11012,0.028412516917014737,0.57,t1_s1_h1,1814,05,voiced
11013,0.028297283356970952,0.58,t1_s1_h1,1814,05,voiced
11014,0.026193630308082316,0.59,t1_s1_h1,1814,05,voiced
11015,0.0420900542875787,0.6,t1_s1_h1,1814,05,voiced
11016,-0.011581187226816968,-0.2,t2_s0_h0,3163,05,voiced
11017,-0.03579276563646463,-0.19,t2_s0_h0,3163,05,voiced
11018,0.016486937013559095,-0.18,t2_s0_h0,3163,05,voiced
11019,0.01753263156252585,-0.17,t2_s0_h0,3163,05,voiced
11020,-0.013193778549428712,-0.16,t2_s0_h0,3163,05,voiced
11021,-0.0010155600028591404,-0.15,t2_s0_h0,3163,05,voiced
11022,-0.0007827718615213317,-0.14,t2_s0_h0,3163,05,voiced
11023,-0.02186403865675206,-0.13,t2_s0_h0,3163,05,voiced
11024,0.02639489585840391,-0.12,t2_s0_h0,3163,05,voiced
11025,-0.011334278953489265,-0.11,t2_s0_h0,3163,05,voiced
11026,-0.004493347477091635,-0.1,t2_s0_h0,3163,05,voiced
11027,-0.0017525655917073482,-0.09,t2_s0_h0,3163,05,voiced
11028,-0.013859757974997772,-0.08,t2_s0_h0,3163,05,voiced
11029,0.017409807954632685,-0.07,t2_s0_h0,3163,05,voiced
11030,0.034201471914564324,-0.06,t2_s0_h0,3163,05,voiced
11031,0.01940078768935908,-0.05,t2_s0_h0,3163,05,voiced
11032,-0.017133344556028652,-0.04,t2_s0_h0,3163,05,voiced
11033,-0.016632689342923713,-0.03,t2_s0_h0,3163,05,voiced
11034,-0.031733877922184774,-0.02,t2_s0_h0,3163,05,voiced
11035,-0.02445967677470728,-0.01,t2_s0_h0,3163,05,voiced
11036,-0.032590278288017686,0.0,t2_s0_h0,3163,05,voiced
11037,0.027450528383074872,0.01,t2_s0_h0,3163,05,voiced
11038,0.03264107971301884,0.02,t2_s0_h0,3163,05,voiced
11039,-0.018043504139578104,0.03,t2_s0_h0,3163,05,voiced
11040,-0.02452680844536104,0.04,t2_s0_h0,3163,05,voiced
11041,0.022743833831716204,0.05,t2_s0_h0,3163,05,voiced
11042,0.028430606217532496,0.06,t2_s0_h0,3163,05,voiced
11043,0.017126246554610317,0.07,t2_s0_h0,3163,05,voiced
11044,0.03153553622538109,0.08,t2_s0_h0,3163,05,voiced
11045,0.03684308249365925,0.09,t2_s0_h0,3163,05,voiced
11046,-0.006130091296168871,0.1,t2_s0_h0,3163,05,voiced
11047,0.017064198482444566,0.11,t2_s0_h0,3163,05,voiced
11048,0.030553843014602903,0.12,t2_s0_h0,3163,05,voiced
11049,0.028328777592140787,0.13,t2_s0_h0,3163,05,voiced
11050,0.031647292938638175,0.14,t2_s0_h0,3163,05,voiced
11051,0.0355312544194015,0.15,t2_s0_h0,3163,05,voiced
11052,0.01925064469518748,0.16,t2_s0_h0,3163,05,voiced
11053,0.007063974340672158,0.17,t2_s0_h0,3163,05,voiced
